reviewId,content,score,gender,location,date,Unnamed: 6,sentimiento_real,texto_limpio,Cluster,Palabras_Clave
d9d6dfd8-3b19-44cf-8bdc-da76246dd49a,cin.ignore(),,1,male,"Tunis, Tunisia",2016-11-30,positiva,,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
5a156c4c-ea3a-4a5a-8cb4-e3ce8131e063,good,4,male,"Dar es Salaam, Tanzania",2022-05-29,,positiva,good,1,"good, far, date, experi, realli, see, work, thank, one, better"
606cdc9b-3295-45ee-a522-28995191f0f2,i don't know,4,male,"Nairobi, Kenya",2022-08-09,,positiva,know,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
40a20b85-4e2a-490d-afed-db4b13db78c4,good message to see.,4,female,"Hobart, Australia",2023-12-30,,positiva,good messag see,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
7ff0f9df-b660-4f44-a599-3e70b2817454,its about he best we got,4,male,"Chennai, India",2022-03-02,,positiva,best got,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
64a6df85-695d-4295-9c70-d0d81c0354d9,The verification it doesn't work I've been taking pictures for a week none of them work and nobody gets back to you it's no communication with the verification when you have to contact somebody you can't contact nobody never get back so it's a feature that's just not even worth it does not work,4,male,"Monterrey, Mexico",2022-12-30,,positiva,verif work take pictur week none work nobodi get back commun verif contact somebodi ca contact nobodi never get back featur even worth work,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
27aeaaeb-84d9-49d3-9071-c6db8c1f7727,good application,4,female,"Adelaide, Australia",2023-09-11,,positiva,good,1,"good, far, date, experi, realli, see, work, thank, one, better"
6f687a49-0d68-4b3b-9d5b-a8e56628d0b3,It's annoying that even after you pay they still keep hitting you with pop ups to buy something else. Also way too easy to swipe left or right when scrolling down.,4,male,"Zurich, Switzerland",2021-03-30,,positiva,annoy even pay still keep hit pop up buy someth els also way easi swipe left right scroll,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
f6e96e5a-5334-44da-aad3-ba1fb8ce2114,good,4,male,"Krakow, Poland",2021-01-18,,positiva,good,1,"good, far, date, experi, realli, see, work, thank, one, better"
08d5d1b5-537c-4b02-8961-263ed28bd24c,need to hav some free trial days,4,male,"Dublin, Ireland",2021-09-22,,positiva,need hav free trial day,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
d08bcc45-7eda-4253-ad3d-ce3af2054162,cool!,4,male,"Seville, Spain",2021-03-03,,positiva,cool,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
d41ba9cf-8d69-4186-b28f-a4c9a15c514a,Good,4,male,"Athens, Greece",2021-04-10,,positiva,good,1,"good, far, date, experi, realli, see, work, thank, one, better"
131673de-019e-4236-a42d-aa89ba85d54f,my favorite out of all the other dating apps for free use,4,male,"Kathmandu, Nepal",2021-11-18,,positiva,favorit date app free use,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
f726a91f-7059-4c33-bba2-a1664a7c1660,working on it,4,male,"Krakow, Poland",2021-10-10,,positiva,work,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
bac8e909-ffc2-4ff0-b18d-ec6774e8ec06,it's a good app my only complaint is that premium is a bit too expensive,4,female,"Brasília, Brazil",2023-04-10,,positiva,good complaint premium bit expens,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
d6ee2b67-a2cd-484e-a059-d3eaea208ee9,I need an app to download my state ID and an Android phone,4,female,"Canberra, Australia",2023-11-22,,positiva,need download state id android phone,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
fd5e3560-5387-458a-a089-9fb95c5ce1de,"Quite good app overall, just i wander if the women knows they must talk first on this app, because many are matching with you and dont talk at all, what is the point honesty ? I suggest for women profiles a regular reminder of how it works",4,male,"Cairo, Egypt",2022-09-01,,positiva,quit good overal wander women know must talk first mani match dont talk point honesti suggest women profil regular remind work,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
a489f34f-cd1b-47e9-8fe0-264b1f65939e,Seriously speaking dis app is not downloading for me why is dt happening,4,female,"Canberra, Australia",2024-01-03,,positiva,serious speak di download dt happen,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
aedb50a7-29fc-4b7c-839f-0d1b25888e94,It's good! but should be used in big cities where you'll get more matches,4,female,"Port Moresby, Papua New Guinea",2023-11-26,,positiva,good use big citi get match,2,"great, love, date, best, use, bumbl, good, peopl, better, awesom"
93f99a79-de46-4466-82a3-52c9a8f8a302,nice to chat on,4,male,"Marseille, France",2021-08-06,,positiva,nice chat,3,"nice, app, date, love, realli, good, place, chat, interest, cool"
