reviewId,content,score,gender,location,date,sentimiento_analisis,texto_limpio,Cluster_Dominante,Palabras_Clave
5895cfc3-85b6-4f16-8b15-74a33a594331,I enjoy using bumble,3,male,"Tel Aviv,Israel",2020-04-23,neutra,enjoy use,1,"subscript, pay, think, women, show, want, yet, compliment, profil, keep"
0d82ce66-9c93-4bf2-a5e5-b1be20a327a1,Tinder doesnt have a swipe limit.... Tinder doesnt hide your matches from you...,3,male,"Abuja,Nigeria",2020-05-28,neutra,doesnt swipe limit doesnt hide,0,"good, like, profil, mani, nice, better, find, give, great, swipe"
67dae9c0-fed8-46fc-a53f-d62034e6b320,It's okay but could be better without a strict limit of likes for a day(5-7 likes) and always trying to get you to pay for upgrades or extra stuff,3,female,"Perth,Australia",2022-01-20,neutra,okay could better without strict limit_like day like alway tri pay upgrad extra stuff,0,"good, like, profil, mani, nice, better, find, give, great, swipe"
53d1971e-0033-49eb-83fd-367b0ef27aab,"Nonbinary people need to be able to make the first move too,dating is hard as is!",3,male,"Seoul,South Korea",2020-03-03,neutra,nonbinari need abl first_move hard,0,"good, like, profil, mani, nice, better, find, give, great, swipe"
58e6cf7f-c34f-4464-aa9c-bcd9a0078005,"Having some technical issues with Bmble weekly subscriptions,and Bmble unfortunately not resolving it .....which is so surprising....",3,male,"Hanoi,Vietnam",2020-01-12,neutra,technic_issu bmble weekli subscript bmble unfortun resolv surpris,1,"subscript, pay, think, women, show, want, yet, compliment, profil, keep"
eb79e645-96d2-4645-98d9-97b8c5bf4668,"i dnt get much reviews at all,i noe im not the ugliest man on earth lol",3,male,"Copenhagen,Denmark",2019-01-26,neutra,dnt review noe ugliest man earth lol,3,"free, filter, premium, pleas, pay, featur, girl, get, money, price"
f98d9bf7-e6af-48c0-8d2c-8f680131506e,easy to use even though I haven't met anyone yet!,3,male,"Kathmandu,Nepal",2020-02-03,neutra,easi though met_anyon yet,1,"subscript, pay, think, women, show, want, yet, compliment, profil, keep"
d21daa3f-8297-4e7c-b0ea-743eb72a6faf,"The app will spam your inbox with multiple pointless things and """"conversations",3,male,"Barcelona,Spain",2019-05-24,neutra,spam inbox multipl pointless thing convers,1,"subscript, pay, think, women, show, want, yet, compliment, profil, keep"
6289ae5b-f701-4696-8e05-1a80ed13728a,good,3,male,"Warsaw,Poland",2019-03-29,neutra,good,0,"good, like, profil, mani, nice, better, find, give, great, swipe"
22740860-7d45-4b11-8789-70d6919b2e80,Full of fake accounts,3,male,"Dubai,United Arab Emirates",2020-01-10,neutra,full_fake account,0,"good, like, profil, mani, nice, better, find, give, great, swipe"
