reviewId,content,score,gender,location,date,
6457799c-a4e0-42ff-99d3-382674590462,Can you delete my account I'm unable to,1,male,"Valencia, Spain",2022-05-23,
a8a9cb1b-c879-4234-8cb0-ed4a800d5968,Alot of bots and undesirable people,1,male,"Adelaide, Australia",2025-09-12,
34333cc5-c584-4fa8-8f23-4990c62ab612,I assume I was shadowbanned because nothing is working,1,male,"Bangalore, India",2023-05-19,
e8c15e6f-9f1e-4186-8a27-350dd97837e7,First day it is nice . If any matches are not found it going to take account under review and it banns the account. Same situation happen to me. I don't know what I have crossed terms and conditions. Finally my account banned itself.,1,male,"Tokyo, Japan",2023-04-01,
57254589-8525-4886-b16f-4d833b0a9270,Was issued a permanent ban. Bad experience after seeing 90% of fake profiles.,1,male,"Budapest, Hungary",2022-01-06,
b00500a8-9c56-4365-9b50-d116ed638e73,"Not quite sure if the shallowness of dating is brought on by tinder or it has just brought it to the fore. Anyway, this vicious cycle is something I'm tired of, and dating seems like a far off pipe dream for me. Tinder doesn't help, instead it sets in more self doubt and insecurity than any positive experiences or feelings it promises.",1,male,"Singapore, Singapore",2022-12-13,
d25a7105-092f-44de-a489-76e465294a71,"I registered and subscribed to this app in less than 3days only for me to be blocked, saying I have violated their terms and conditions which I have not. This app is a scam app Don't subscribe",1,male,"Bangkok, Thailand",2022-12-16,
e6daf19c-ba9c-4eb6-a4b5-5d5712460ea7,"Just got the app today, says it's under review should only take a couple minutes. I can't get into it. And this has been hours now.",1,male,"Brasília, Brazil",2024-12-11,
66985b4d-e6d5-4bff-838f-818d5c15ae30,"You Broke It. This app was already broken, and all around lacking in comparison to other dating apps available. And just when you thought it can't get anyworse, you've completely flubbered the tools to add and remove photos by overcomplicating and redesigning an already functional tool no one asked you to change or redesign in the first place. Congrats, now it doesn't work at all- I'll go back to Bumble👋",1,male,"Dakar, Senegal",2023-12-26,
00d69f0a-568f-4781-9c98-055f6e009cea,"The limited amount of likes plus the amount of spam bots makes the whole experience trash. I really wish I could give it zero stars. Edit update: Wow, this app sucks.Then they have the balls to ask me to pay for features. Update: Far too many bots and fake profiles. Apparently you can't report fake profiles anymore for being straight up fake profiles. Tinder, fix yourself. Edit: Dear Tinder, remove whatever it is that lets ""calling cards"" be a thing.",1,male,"Córdoba, Argentina",2025-02-19,
a3a26939-0dda-4993-8e3d-21159b9d6f9e,"""Oops, something went wrong"" Every time I try to log in",1,male,"Edinburgh, United Kingdom",2022-07-07,
38c789f9-7564-4967-9092-43abdf79a160,I got banned for no reason when I turned 18 stared it stopped using it after a relationship ended I went to go back and was banned idk what happened or why I was banned,1,male,"Dallas, United States",2024-06-05,
89b45238-1b02-4d96-a239-dd757c3d2792,Stupid app,1,male,"Johannesburg, South Africa",2023-11-14,
2b02c9b2-3bac-4a37-9dd5-24b05bb7961d,I believe its fake with so many fake IDs,1,male,"Busan, South Korea",2022-12-15,
c23207cd-b59d-4424-a33d-688bf0cd7247,"Fiz a assinatura e nao recebi o email de confirmaçao com o numero, agora nao consigo restaurar minha compra",1,male,"Kampala, Uganda",2023-09-29,
20477b95-c86f-4ac7-aaba-35a47d720579,trash,1,male,"Tel Aviv, Israel",2022-12-24,
49fe12fd-fc01-4702-894c-ffa6c33e4159,"Scumbag app, makes it as hard as possible to cancel subscription while constantly pushing upgrade ads, I'm done...",1,male,"Durban, South Africa",2023-07-17,
16e5bee4-b535-482d-ab08-b3975fadc463,annoying that you can do so little until you pay up,1,male,"Buenos Aires, Argentina",2025-05-09,
f0c57939-5be7-483a-8fa9-e450b1472e7c,Banned with no reason. I wasnt even using the app when i was banned,1,male,"New York, United States",2024-08-15,
c9824e49-746c-449f-ab52-a8de9aeb2315,the culture is awful (not tinder's fault) and the restrictions on use heavily push people to the very expensive pay options (tinder's fault). taking it from two stars to one because the app recently stopped working for me. it's stuck in a loop where it asks for my phone number but won't do anything else. instant login option via email isn't working.,1,male,"Milan, Italy",2022-08-08,
05ee5b2e-8bb5-49da-aba1-1fe9abe5fca0,No body should use the app they are scammers your private details will be leaked to 3rd parties,1,male,"Mexico City, Mexico",2024-07-23,
56cdb9cf-e4a5-4505-88ad-22894fff4f4d,"I never get real matches, just scams.",1,male,"Guadalajara, Mexico",2024-07-20,
b67c7b59-bd7c-4d24-9d28-07380c738d16,accha,1,male,"Washington DC, United States",2024-06-12,
788e72dc-5d7f-403c-810c-1fab6868c5e4,Algorithms are unclear and lots of dead profiles,1,male,"Suva, Fiji",2025-09-20,
f0237396-6c5e-4daa-96b7-362570762135,Good,1,male,"Asunción, Paraguay",2025-04-07,
2330670d-eee3-4130-a62a-17a40c3815d6,Garbage app made by an unethical company.,1,male,"Caracas, Venezuela",2025-01-29,
18c556d9-e9da-4483-9ef2-9f421f471c7a,Only loading not moving ahead,1,male,"Krakow, Poland",2022-05-08,
c0959cdf-d92e-4fde-af52-8a84d8b6808f,banned for no reason. they wouldn't elaborate when i appealed,1,male,"Dallas, United States",2024-08-29,
d07b1c81-1be5-4fc1-977f-e90a04f1ea94,👍,1,male,"Medellín, Colombia",2024-11-05,
d9cb4c59-c0f0-425d-9c1e-143a6a971db4,"I was banned avytime I try to login, I used the app once was asked to take a picture of my face I did take it I was stupid, then they banned me hhhhhh, it's crazy, why did you ban me? I was trying to see how the app operate, I sent a picture , then banned 🚫????? Are a scam!? Are you serious?",1,male,"Sydney, Australia",2025-07-19,
b8f6d110-cfb9-4b33-b25f-2c14a3eb67c9,you guy always block account easily,1,male,"Dubai, United Arab Emirates",2023-01-29,
a2f71e00-4b15-4420-b81e-4b4bca8131b8,This app is a scam. You have to pay to do anything . U get 5 likes then you have to pay for anything else. U wanna see anybody . Gotta pay . When u run out of likes you can't even share the person to try to come back with more likes because it'll say there was an error and to try back once that page is gone . Smh app is pretty terrible,1,male,"Karachi, Pakistan",2022-12-24,
99ab4f45-bf62-4231-b5b3-1ea75bbca512,"Aish this app just banned me for no reason, I had my own pic , they told me verify my acc one and and I did then they go me banned . So disappointing . U need to check this issue it's so irritating atleast keep banned for few days or months with a warning rather than banning it for almost lifetime .",1,male,"Santa Cruz, Bolivia",2025-02-26,
df9bc921-6e07-4cec-9777-0b43be91a709,It does notallow one to see their likes,1,male,"Tunis, Tunisia",2023-07-08,
c3c9f43b-c234-4cae-8496-1f487dee3254,Please how can I remove my subscription? The payment method I went for. I'm debited every month and I don't want that anymore,1,male,"Rio de Janeiro, Brazil",2025-03-06,
e454a560-8f10-40f7-8577-513469a7afe0,"The app gotten worse with days, now everything is cost extra and clearly aims to cash up a maximum of money. Ps: thank you for copy pasting the same answer on every 1* rating you get. Yes it's free, and it's designed to be very frustrating for guys to get any matches on purpose to encourage cost extra features. At this point and with this many 1* ratings, it should be clear that you know what's wrong and what needs to be changed. Yet, here you are, making a buisness on the misery of people.",1,male,"Perth, Australia",2025-06-20,
2600a9d2-ffda-4738-919c-c70474d9bc24,Tinder explore section is lost. I can't use and see it anymore. It should've been restored.,1,male,"Fortaleza, Brazil",2025-03-08,
803a9699-2b3e-4cf3-9f7e-cbd7f1e89eb1,Free collection of your personal data (according to your documents!!!) is also unreasonably expensive with a price per week! Reduce your appetite - developers. You have competitors. And the smartest people will not leave you a chance.,1,male,"Nadi, Fiji",2025-09-01,
4efc5585-f7d5-4ec9-9d37-4aabf9b2c94b,Shadow banned but took my money,1,male,"Tokyo, Japan",2023-02-02,
48cf7410-0708-4f43-9b12-af1d7c8f288a,"2024 update. Still extra horrible, extra shadey. designed bad to get you to pay for subscription. Notifications from tinder cannot be deleted and make you think you have messages when you don't. Almost impossible to contact tinder for any support with issues. 100% do not recommend. Shadey, scammy, terrible app.",1,male,"Cali, Colombia",2025-01-16,
fcacfcd6-5e60-4d41-bf87-a9efe83331a8,"Well I was locked out for the second time today. I guess Tinder needs to steal my account so they can use my profile for a bot account. I'm done with this app. This review is staying up this time. I deleted it before when they unlocked my account but locked my account again once the review was gone. Now I've written this one and my account is unlocked again??? UPDATE: Locked out for the third time today. HOW CAN I VERIFY, NOT SPEAK TO ANYONE AND BE UNDER REVIEW?!?",1,male,"Montreal, Canada",2024-07-10,
f86913c8-4054-4697-9381-c853346298fe,A lot of dead profiles. Tried subscriptions but like other users warned they are a waste of money. Better apps out there,1,male,"Vienna, Austria",2022-04-29,
615b83ec-bcdc-47c8-a628-a55024f54109,It's broken I can't even log in in this ap,1,male,"Lisbon, Portugal",2022-07-13,
